transaction_id,customer_id,fecha,tipo,monto,moneda,canal
T-100001,C-108,07-03-2024 04:06,INGRESO,4200.59,Dolar,cajero
T-100002,C-327,01/04/2024,ret,860.7,Pesos,app
T-100002,C-209,2024-11-21 09:39:54,deposito,4537.71,Dólar,cajero
T-100004,C-76,16-04-2024 14:14,wd,3064.07,USD,web
T-100005,C-1324,11-17-2025,wd,207.61,MXN,web
T-100006,C-349,25-02-2024 18:59,wd,-1391.66,USD,sucursal
T-100007,C-1287,23-02-2025 14:32,dep,87086.58,Peso,web
T-100008,C-1291,27/09/2024,retiro,2705.08,USD,app
T-100009,C-396,2025-10-12 08:28:17,ret,4775.63,MXN,App
T-100010,C-728,2024-05-24 13:13:21,INGRESO,-1029.28,Euro,WEB
T-100011,C-661,01-10-2024 06:01,RETIRO,1707.41,Euro,sucursal
T-100012,C-859,2024-09-28 18:03:22,dep,3733.36,EUR,App
T-100013,C-628,26/07/2024,wd,2697.86,mxn,App
T-100014,C-128,30/01/2024,RETIRO,4361.83,Euro,web
T-100015,C-58,12/12/2024,retiro,568.65,Peso,app
T-100016,C-1037,01/04/2024,dep,262.97,mxn,app
T-100017,C-1157,09/04/2025,dep,2794.95,EUR,web
T-100018,C-816,2024-03-19 23:08:50,wd,4576.77,MXN,App
T-100019,C-1013,15-09-2024 08:34,DEPOSITO,2330.77,Dolar,cajero
T-100020,C-920,21-12-2024 09:51,deposito,4040.14,Dolar,sucursal
T-100021,C-771,20-11-2025 07:06,dep,1363.81,USD,web
T-100022,C-796,05-04-2024 16:24,INGRESO,4817.47,eur,cajero
T-100023,C-1153,11-05-2024 18:38,INGRESO,4532.04,mxn,app
T-100023,C-1017,28/08/2025,RETIRO,2732.47,usd,App
T-100025,C-950,13-02-2024 10:23,dep,1176.51,Dolar,sucursal
T-100026,C-733,11-24-2025,DEPOSITO,"865,61",EUR,WEB
T-100027,C-398,22-03-2025 18:48,wd,2662.66,Euro,App
T-100028,C-400,2024-08-09 17:35:27,wd,"2270,35",Dólar,App
T-100029,C-1011,01/10/2025,deposito,194755.54,MXN,web
T-100030,C-23,08-12-2025,RETIRO,4710.26,Dolar,sucursal
T-100031,C-579,05-10-2024 19:30,DEPOSITO,3941.08,usd,App
T-100032,C-891,09-05-2025,INGRESO,4525.46,usd,web
T-100033,C-219,28/06/2024,INGRESO,77047.89,Dolar,cajero
T-100034,C-800,2025-04-17 17:05:05,DEPOSITO,"1658,08",EUR,web
T-100035,C-259,02-16-2025,DEPOSITO,3980.41,mxn,sucursal
T-100036,C-412,09-11-2025,DEPOSITO,"2333,61",EUR,cajero
T-100037,C-423,15/09/2024,INGRESO,757.88,Dolar,WEB
T-100038,C-469,2024-11-14 19:49:05,DEPOSITO,1285.9,EUR,App
T-100039,C-1313,12-08-2025 20:43,ret,694.74,Peso,cajero
T-100040,C-7,06-02-2025 11:25,dep,3612.12,USD,WEB
T-100041,C-1094,12/06/2025,RETIRO,3625.37,Dolar,WEB
T-100042,C-1116,09/05/2025,RETIRO,204.03,Euro,sucursal
T-100043,C-749,29/05/2025,deposito,124891.72,Peso,app
T-100044,C-740,09/11/2025,wd,1336.92,MXN,cajero
T-100045,C-1307,18-01-2025 00:48,retiro,4202.09,Dólar,cajero
T-100046,C-370,31/05/2025,RETIRO,"1237,91",usd,app
T-100047,C-547,10-28-2024,INGRESO,"371,35",eur,cajero
T-100048,C-1307,21/02/2024,ret,3932.22,mxn,cajero
T-100049,C-410,08-01-2025,INGRESO,375.03,mxn,WEB
T-100050,C-456,2024-06-09 11:27:13,retiro,3605.79,Euro,cajero
T-100051,C-443,2025-09-19 01:16:43,RETIRO,185905.33,MXN,sucursal
T-100052,C-1076,2025-11-26 07:41:58,INGRESO,4420.61,usd,WEB
T-100053,C-878,2025-05-23 15:08:17,DEPOSITO,3299.74,Euro,App
T-100054,C-1045,06-01-2024,ret,960.94,Euro,app
T-100055,C-5,01/10/2024,INGRESO,56795.31,eur,app
T-100056,C-954,09-11-2024 16:18,ret,"246,4",Pesos,cajero
T-100057,C-1359,22/03/2024,DEPOSITO,1949.29,Euro,app
T-100058,C-1000,27/12/2024,ret,3043.37,eur,cajero
T-100059,C-362,22/03/2025,DEPOSITO,3570.32,mxn,sucursal
T-100060,C-343,09-30-2024,deposito,3287.43,USD,web
T-100061,C-718,06-15-2024,DEPOSITO,4250.85,USD,WEB
T-100062,C-853,2024-04-02 07:37:45,wd,602.68,Dolar,cajero
T-100063,C-1435,05-01-2025,retiro,677.02,eur,web
T-100064,C-30,07-02-2024 07:00,dep,77727.5,Peso,sucursal
T-100065,C-242,11/10/2024,INGRESO,2028.46,mxn,cajero
T-100066,C-1430,07-14-2024,RETIRO,1827.42,mxn,cajero
T-100067,C-248,20-02-2025 12:49,deposito,373.73,eur,WEB
T-100068,C-917,2025-07-10 13:00:59,RETIRO,1530.67,Dolar,cajero
T-100069,C-683,23/11/2025,DEPOSITO,"2525,43",Peso,cajero
T-100070,C-311,09-05-2025 13:14,ret,"3782,8",usd,sucursal
T-100071,C-1435,01-22-2026,dep,40905.47,Dólar,WEB
T-100072,C-553,01-02-2026,RETIRO,4338.43,eur,web
T-100073,C-1255,03/05/2025,DEPOSITO,2110.4,Euro,cajero
T-100074,C-596,17/07/2024,INGRESO,4889.48,EUR,cajero
T-100075,C-1296,16/01/2025,dep,685.36,Dólar,sucursal
T-100076,C-550,06/06/2024,dep,2990.72,usd,App
T-100077,C-371,22/01/2026,retiro,"547,8",MXN,sucursal
T-100078,C-892,18/12/2024,DEPOSITO,1223.38,mxn,WEB
T-100079,C-923,30/07/2025,wd,126941.96,usd,App
T-100080,C-469,01-03-2024 03:45,retiro,121633.52,mxn,App
T-100081,C-1022,2024-05-06 08:04:39,dep,3518.92,Euro,web
T-100082,C-1307,18/06/2024,RETIRO,1294.92,mxn,App
T-100083,C-390,2024-08-03 04:31:10,INGRESO,"4886,75",Dolar,App
T-100084,C-1116,12-10-2024 02:01,INGRESO,750.05,Dólar,cajero
T-100085,C-1014,08-14-2024,ret,-3848.38,eur,cajero
T-100086,C-189,2024-12-11 03:29:11,dep,2278.54,mxn,sucursal
T-100087,C-681,30/11/2024,retiro,3392.52,Dolar,web
T-100088,C-1174,17-04-2024 06:23,wd,78.02,usd,WEB
T-100089,C-317,14-03-2024 15:43,ret,10710.81,USD,sucursal
T-100019,C-555,14/10/2024,retiro,3283.98,EUR,sucursal
T-100091,C-822,04-02-2024,INGRESO,1335.25,eur,sucursal
T-100092,C-898,10-12-2024 08:45,dep,2116.37,Dólar,App
T-100093,C-490,04/02/2024,wd,"2612,1",Euro,cajero
T-100094,C-269,23/02/2025,DEPOSITO,376.36,eur,App
T-100095,C-597,22/03/2024,wd,3261.87,mxn,app
T-100096,C-1059,19/06/2025,ret,-3568.19,Dolar,sucursal
T-100097,C-158,19-11-2024 04:27,dep,"2218,22",Peso,App
T-100098,C-1157,2026-01-17 16:44:57,ret,897.85,Dólar,sucursal
T-100099,C-1282,07-08-2024 16:49,dep,2432.77,eur,WEB
T-100100,C-1044,08-01-2025 01:55,INGRESO,371.38,eur,WEB
T-100101,C-739,07-30-2025,retiro,174.48,mxn,cajero
T-100102,C-281,09-29-2024,retiro,22131.02,Euro,App
T-100103,C-1369,09/10/2024,DEPOSITO,-3296.85,Dólar,App
T-100104,C-133,09-05-2025 18:58,retiro,2145.87,USD,sucursal
T-100105,C-1310,06-01-2026 06:10,RETIRO,141.23,Pesos,app
T-100106,C-196,04/11/2025,retiro,-3792.21,USD,app
T-100107,C-446,11-30-2024,retiro,3690.73,usd,app
T-100108,C-945,2025-07-06 04:47:02,RETIRO,2282.99,EUR,sucursal
T-100109,C-337,2025-06-07 22:54:39,ret,1213.19,Dolar,app
T-100110,C-639,2024-10-26 17:44:43,dep,3368.83,eur,sucursal
T-100111,C-685,07-18-2024,INGRESO,415.52,MXN,web
T-100112,C-1072,2024-03-26 04:09:24,dep,805.66,EUR,App
T-100113,C-1313,31-10-2025 22:42,RETIRO,"174128,89",Peso,App
T-100114,C-842,03-10-2024,RETIRO,3361.51,Euro,App
T-100115,C-1093,10-02-2025 19:37,ret,3900.34,Dolar,app
T-100116,C-509,02-24-2025,retiro,1581.91,Euro,cajero
T-100117,C-1127,2024-05-14 16:08:27,INGRESO,737.05,Pesos,WEB
T-100118,C-562,22/05/2025,DEPOSITO,4815.82,Dolar,sucursal
T-100119,C-1407,11-27-2025,RETIRO,4891.75,Pesos,cajero
T-100120,C-1293,2025-08-17 20:53:19,retiro,3367.1,mxn,sucursal
T-100121,C-346,08-11-2024 06:24,dep,450.57,Pesos,WEB
T-100122,C-326,2024-04-30 07:18:31,RETIRO,-3892.59,Dolar,cajero
T-100123,C-115,10/01/2026,retiro,247.27,Pesos,WEB
T-100124,C-1177,2025-02-09 15:42:29,INGRESO,159.52,mxn,sucursal
T-100125,C-1134,2025-05-02 20:15:07,DEPOSITO,4734.19,Euro,cajero
T-100126,C-864,09-05-2025,DEPOSITO,4891.07,Pesos,App
T-100127,C-1033,2024-11-06 01:34:49,deposito,1496.62,Pesos,sucursal
T-100128,C-1018,03-14-2024,retiro,3858.68,Dolar,app
T-100129,C-761,2024-05-07 06:39:41,dep,4819.32,Euro,web
T-100130,C-424,05-31-2025,INGRESO,3286.19,mxn,sucursal
T-100131,C-587,10/10/2024,DEPOSITO,1339.9,Peso,WEB
T-100132,C-1332,26-10-2025 05:24,wd,192046.53,EUR,app
T-100133,C-1377,2025-07-22 14:18:25,retiro,20217.64,Pesos,sucursal
T-100134,C-207,14/01/2026,ret,1366.03,EUR,App
T-100135,C-1125,2025-05-31 11:46:51,ret,"197,3",Peso,WEB
T-100136,C-532,2024-09-06 20:16:30,DEPOSITO,4508.02,Euro,web
T-100137,C-261,28-08-2025 19:26,ret,1398.44,mxn,App
T-100138,C-841,18/02/2024,deposito,88937.04,Dolar,App
T-100139,C-405,02-12-2025,dep,1886.76,USD,app
T-100140,C-1291,26/10/2025,ret,3524.63,Euro,sucursal
T-100141,C-1450,07/02/2025,wd,1771.6,eur,web
T-100142,C-116,2024-05-08 06:25:45,retiro,1491.94,USD,cajero
T-100143,C-255,28/01/2025,ret,3384.75,mxn,cajero
T-100144,C-227,03-02-2025,INGRESO,43080.17,MXN,sucursal
T-100145,C-368,2024-10-24 11:14:18,deposito,"1265,95",EUR,web
T-100146,C-707,11/11/2025,RETIRO,4636.28,Peso,App
T-100147,C-1299,2024-10-03 08:13:56,DEPOSITO,3405.16,Dólar,web
T-100148,C-468,2024-08-14 10:18:46,DEPOSITO,-1161.58,MXN,cajero
T-100149,C-821,02-01-2025,wd,506.23,EUR,app
T-100150,C-869,25-06-2024 09:45,INGRESO,710.04,Pesos,WEB
T-100151,C-1063,20-09-2024 04:15,ret,4087.12,eur,app
T-100152,C-833,11-14-2024,ret,3866.16,eur,sucursal
T-100153,C-689,12-14-2025,dep,"1052,44",Peso,App
T-100154,C-1438,03-27-2024,INGRESO,2268.69,Pesos,app
T-100155,C-815,20/06/2024,retiro,-1831.12,mxn,App
T-100156,C-678,22/06/2024,wd,"1102,25",usd,web
T-100157,C-1378,2026-01-24 22:36:23,DEPOSITO,2346.52,mxn,web
T-100158,C-1330,2025-11-09 15:19:43,wd,317.51,EUR,sucursal
T-100159,C-1148,18-06-2024 18:04,ret,2134.14,EUR,app
T-100160,C-608,2025-03-16 08:49:24,dep,1731.25,mxn,App
T-100161,C-390,03-31-2024,ret,2801.65,eur,cajero
T-100162,C-1473,16/09/2024,dep,915.23,mxn,WEB
T-100163,C-257,04/10/2024,INGRESO,4053.18,Euro,app
T-100136,C-267,24/02/2025,INGRESO,1148.99,MXN,app
T-100165,C-758,07/12/2025,INGRESO,1864.84,MXN,WEB
T-100166,C-570,09-10-2025,RETIRO,-1556.68,Dólar,WEB
T-100097,C-493,02-22-2025,ret,203.14,Pesos,app
T-100168,C-1333,08-25-2025,INGRESO,1996.75,Dólar,App
T-100169,C-686,16-01-2025 10:38,ret,2635.12,eur,sucursal
T-100170,C-326,2025-07-15 13:55:51,dep,3901.17,eur,app
T-100171,C-1176,2025-08-18 11:17:25,retiro,1434.41,Dolar,app
T-100172,C-726,03/08/2024,RETIRO,-1305.12,EUR,App
T-100173,C-559,28/09/2025,deposito,100245.84,MXN,web
T-100174,C-1004,2025-03-26 02:20:16,retiro,4625.95,eur,App
T-100175,C-840,18/01/2025,retiro,2536.77,Euro,cajero
T-100176,C-176,13/11/2024,RETIRO,"37460,24",USD,web
T-100177,C-1473,10/07/2024,wd,992.04,Dólar,app
T-100178,C-782,01-29-2025,wd,91069.38,eur,web
T-100179,C-806,04-30-2024,retiro,2228.18,eur,cajero
T-100180,C-940,06-05-2025 14:48,RETIRO,399.25,MXN,app
T-100181,C-227,15-11-2025 02:06,deposito,546.09,EUR,WEB
T-100182,C-417,08-28-2025,INGRESO,594.33,Dólar,sucursal
T-100183,C-478,2025-04-17 21:33:35,retiro,1383.11,Peso,app
T-100184,C-191,2025-01-24 02:59:10,dep,2008.62,MXN,cajero
T-100185,C-487,20/06/2025,RETIRO,4319.88,eur,sucursal
T-100186,C-762,04-27-2024,retiro,964.81,Dolar,cajero
T-100187,C-763,07-03-2024 05:22,wd,2572.75,Pesos,app
T-100188,C-509,19/10/2025,ret,2438.52,usd,web
T-100189,C-691,10-19-2024,dep,4139.95,mxn,app
T-100190,C-370,31/05/2025,INGRESO,4225.06,Euro,App
T-100191,C-1300,01-12-2024 06:41,dep,296.3,Peso,WEB
T-100068,C-1293,16-10-2024 22:08,retiro,2909.65,Euro,sucursal
T-100193,C-241,2025-08-13 14:22:54,wd,4301.97,usd,WEB
T-100194,C-467,10-05-2024,DEPOSITO,194585.55,Pesos,web
T-100195,C-316,08-01-2025,dep,3487.99,eur,web
T-100196,C-504,09-19-2025,deposito,4679.18,Peso,App
T-100197,C-125,06-08-2024,RETIRO,3134.36,Euro,web
T-100198,C-820,11-01-2026 18:25,dep,3596.3,mxn,cajero
T-100199,C-878,14/03/2024,retiro,1949.14,mxn,WEB
T-100200,C-1059,11-26-2024,dep,"146339,36",Pesos,app
T-100201,C-799,28/01/2025,dep,3914.07,eur,cajero
T-100202,C-1356,25/09/2025,retiro,14109.65,mxn,web
T-100203,C-57,04-06-2024 15:59,wd,2820.8,Pesos,WEB
T-100204,C-48,12/03/2025,deposito,1675.71,Peso,app
T-100205,C-982,2024-10-24 02:45:52,RETIRO,1364.24,Pesos,web
T-100206,C-1114,2025-12-02 04:35:57,INGRESO,3897.7,Peso,WEB
T-100207,C-1056,2024-04-27 06:40:21,retiro,-3779.98,EUR,web
T-100208,C-603,09-08-2024 19:14,DEPOSITO,2299.26,Dolar,sucursal
T-100209,C-248,18-09-2025 18:29,retiro,162.18,EUR,App
T-100210,C-138,09-20-2024,INGRESO,1136.46,Peso,app
T-100211,C-350,18/12/2025,retiro,2624.15,mxn,sucursal
T-100212,C-1376,06/03/2024,ret,"3661,35",mxn,sucursal
T-100213,C-158,2024-11-07 15:39:31,retiro,2073.67,Pesos,WEB
T-100214,C-1456,2024-04-16 10:08:19,DEPOSITO,4940.02,usd,sucursal
T-100215,C-376,03-22-2025,dep,2797.99,Dolar,cajero
T-100216,C-25,2026-01-01 11:08:09,INGRESO,1572.8,mxn,cajero
T-100217,C-615,22-09-2024 02:29,wd,216.1,MXN,WEB
T-100218,C-753,2025-05-15 10:06:48,DEPOSITO,"4563,87",Pesos,WEB
T-100219,C-605,08-10-2024,INGRESO,"104089,76",Pesos,app
T-100220,C-320,14-12-2024 18:19,RETIRO,4676.77,Dolar,web
T-100221,C-560,03-21-2025,deposito,3919.51,MXN,cajero
T-100222,C-787,07-28-2024,ret,1632.87,EUR,WEB
T-100223,C-128,2025-06-16 07:03:22,retiro,3868.16,Dolar,cajero
T-100224,C-1074,28-01-2025 21:18,deposito,153138.47,eur,App
T-100225,C-10,2025-11-20 08:14:39,dep,"3285,88",EUR,App
T-100226,C-763,08-16-2024,INGRESO,61229.27,MXN,WEB
T-100227,C-403,12-26-2025,dep,395.24,Dolar,app
T-100228,C-916,10-06-2024 00:26,RETIRO,1591.97,MXN,WEB
T-100229,C-1060,12/02/2024,DEPOSITO,"51717,45",usd,sucursal
T-100230,C-200,2025-05-25 04:29:21,ret,4688.45,EUR,sucursal
T-100231,C-332,17/07/2025,INGRESO,4531.25,MXN,WEB
T-100232,C-77,2025-01-11 14:16:26,dep,1131.61,eur,App
T-100233,C-604,2024-02-29 03:44:49,dep,-3875.95,USD,web
T-100234,C-1401,2026-01-27 00:54:29,dep,4586.22,EUR,app
T-100235,C-578,05-11-2024,deposito,4980.99,MXN,web
T-100236,C-549,2025-10-25 18:42:43,RETIRO,2243.71,Dólar,app
T-100237,C-400,2025-11-10 04:01:12,ret,2571.33,Peso,cajero
T-100238,C-299,07-08-2024,retiro,130.01,Euro,app
T-100239,C-201,10-21-2025,INGRESO,-2333.88,USD,WEB
T-100240,C-1479,2025-01-01 10:18:54,INGRESO,1236.73,Dolar,web
T-100241,C-1118,16/11/2025,wd,2340.78,Euro,web
T-100103,C-355,2025-11-07 05:43:56,wd,2928.92,Euro,app
T-100243,C-1395,16/08/2025,deposito,4378.11,mxn,web
T-100244,C-192,08-26-2024,INGRESO,4989.86,usd,sucursal
T-100245,C-506,27/03/2025,wd,3354.81,Pesos,App
T-100246,C-1010,2026-01-14 18:00:58,wd,895.86,usd,sucursal
T-100247,C-985,19-09-2024 03:06,ret,2331.36,mxn,App
T-100248,C-549,06/11/2024,wd,"794,6",Euro,cajero
T-100249,C-1483,14/06/2025,dep,67179.58,Dólar,app
T-100250,C-1380,14-03-2024 16:11,deposito,1829.54,mxn,app
T-100251,C-648,2024-07-31 23:55:05,deposito,4154.11,MXN,App
T-100252,C-361,05-30-2024,INGRESO,4498.78,Pesos,cajero
T-100253,C-1222,11-27-2024,INGRESO,1513.03,Euro,App
T-100254,C-969,04-12-2024 08:34,deposito,97766.43,Dolar,sucursal
T-100255,C-660,04-16-2025,ret,"1559,31",USD,WEB
T-100256,C-152,25/01/2025,RETIRO,3251.09,Euro,App
T-100257,C-1064,2024-05-28 06:45:30,deposito,4545.78,usd,web
T-100258,C-78,03-02-2024,deposito,4436.59,Dólar,app
T-100259,C-131,02-15-2025,wd,3759.99,USD,App
T-100260,C-1129,2025-08-08 21:40:00,RETIRO,2968.6,Peso,App
T-100261,C-715,12-05-2025,dep,143211.54,Pesos,WEB
T-100262,C-429,10-03-2025,DEPOSITO,"2478,32",EUR,sucursal
T-100263,C-28,2024-09-06 01:48:53,ret,2771.95,Peso,sucursal
T-100264,C-951,2025-10-22 06:39:56,deposito,1730.66,Pesos,WEB
T-100265,C-548,04/01/2025,dep,151051.55,Peso,App
T-100266,C-941,2024-08-22 05:49:25,RETIRO,2172.15,MXN,cajero
T-100267,C-845,2024-04-05 05:46:50,DEPOSITO,"4227,67",Pesos,WEB
T-100268,C-618,17/12/2024,wd,612.01,EUR,cajero
T-100269,C-1391,2025-03-02 00:05:56,deposito,952.15,Peso,app
T-100270,C-412,2024-08-19 22:38:25,dep,3567.86,MXN,web
T-100271,C-134,2024-06-19 13:58:59,RETIRO,2486.5,USD,app
T-100272,C-688,16-12-2025 05:20,deposito,4935.43,mxn,App
T-100273,C-1105,03-18-2024,RETIRO,2550.63,mxn,web
T-100274,C-1085,2025-12-15 03:04:19,retiro,136089.48,Dólar,App
T-100275,C-262,11-20-2024,ret,1506.91,MXN,web
T-100276,C-255,08-29-2025,DEPOSITO,1824.93,mxn,cajero
T-100277,C-346,04-18-2024,deposito,3770.2,usd,web
T-100278,C-528,20/03/2025,ret,"835,15",usd,cajero
T-100279,C-1037,07-08-2025 07:47,wd,2342.14,Dolar,WEB
T-100259,C-1478,2024-12-12 10:02:46,RETIRO,973.93,mxn,cajero
T-100281,C-276,15-10-2024 07:29,INGRESO,38227.74,eur,App
T-100282,C-944,01-23-2025,RETIRO,87.22,Pesos,WEB
T-100283,C-1265,06-18-2024,DEPOSITO,1270.86,Euro,app
T-100284,C-1457,07-01-2024,ret,3436.18,Peso,cajero
T-100285,C-1245,07-23-2024,deposito,-4499.72,Dolar,cajero
