order_id,order_date,customer_id,country,payment_method,amount,discount_code
O-100000,2024-03-05,C-275,méxico,cash,
O-100001,2024-03-30,C-164,us,cash,WELCOME
O-100002,2024-11-19,C-324,AR,card,NULL
O-100003,14-Apr-2024,C-272,AR,efectivo,
O-100004,11-15-2025,C-13,argentina,pp,
O-100005,23-Feb-2024,C-674,España,efectivo,NULL
O-100006,2025-02-21,C-194,mx,TC,BLACKFRIDAY
O-100007,09-25-2024,C-507,estados unidos,debit,
O-100008,10/10/2025,C-22,es,efectivo,
O-100009,2024-05-22,C-444,méxico,tarjeta crédito,NULL
O-100010,09-29-2024,C-425,ES,TD,DESC10
O-100011,2024-09-27,C-777,ar,debito,NULL
O-100012,07-24-2024,C-530,México,pp,NULL
O-100013,28-Jan-2024,C-312,AR,debito,NULL
O-100014,12-10-2024,C-231,ES,cash,WELCOME
O-100015,31/03/2024,C-518,US,TD,NULL
O-100016,07/04/2025,C-805,argentina,paypal,
O-100017,18/03/2024,C-861,US,pp,WELCOME
O-100018,13-Sep-2024,C-324,España,pp,NULL
O-100019,19-Dec-2024,C-385,España,pp,
O-100020,2025-11-18,C-967,AR,pp,NULL
O-100021,04-03-2024,C-862,ar,debito,NULL
O-100003,2024-05-09,C-439,Argentina,paypal,NULL
O-100023,2025-08-26,C-475,ES,efectivo,NULL
O-100024,02-11-2024,C-436,MX,paypal,DESC10
O-100025,23/11/2025,C-311,argentina,TD,
O-100026,2025-03-21,C-651,argentina,paypal,
O-100027,07/08/2024,C-200,Estados Unidos,credito,
O-100028,2025-09-30,C-43,estados unidos,cash,NULL
O-100029,08-10-2025,C-805,estados unidos,TD,
O-100030,04-Oct-2024,C-890,mx,TD,
O-100031,2025-09-03,C-456,es,cash,WELCOME
O-100032,06-26-2024,C-754,México,paypal,WELCOME
O-100033,2025-04-16,C-339,MX,debit,
O-100034,15-Feb-2025,C-713,México,TC,
O-100035,09-09-2025,C-688,US,TC,BLACKFRIDAY
O-100036,2024-09-13,C-113,us,debit,WELCOME
O-100037,11-13-2024,C-939,ar,cash,NULL
O-100038,2025-08-11,C-820,ES,cash,WELCOME
O-100039,04/02/2025,C-409,México,debito,WELCOME
O-100040,10/06/2025,C-397,mx,credito,cupón
O-100041,05-07-2025,C-125,mx,TC,NULL
O-100042,2025-05-28,C-683,mx,efectivo,
O-100043,07-Nov-2025,C-858,ar,debit,
O-100044,2025-01-16,C-179,españa,TD,BLACKFRIDAY
O-100045,2025-05-29,C-654,us,efectivo,WELCOME
O-100046,26/10/2024,C-510,méxico,credito,BLACKFRIDAY
O-100047,19/02/2024,C-411,ar,credito,NULL
O-100044,2025-07-31,C-160,MX,pp,DESC10
O-100049,2024-06-07,C-90,México,debito,
O-100050,17-Sep-2025,C-723,es,paypal,
O-100051,2025-11-24,C-912,US,paypal,NULL
O-100052,22-May-2025,C-383,es,debit,BLACKFRIDAY
O-100053,30/05/2024,C-926,MX,debito,
O-100054,29/09/2024,C-901,ar,efectivo,NULL
O-100055,07/11/2024,C-241,MX,TD,
O-100056,20/03/2024,C-790,Estados Unidos,paypal,
O-100057,2024-12-25,C-438,argentina,cash,cupón
O-100058,2025-03-20,C-115,mx,efectivo,DESC10
O-100059,09-28-2024,C-682,US,debit,
O-100060,2024-06-13,C-357,us,efectivo,
O-100061,2024-03-31,C-615,argentina,pp,NULL
O-100062,30-Apr-2025,C-120,AR,efectivo,NULL
O-100063,2024-02-05,C-433,argentina,paypal,
O-100064,10-10-2024,C-377,ES,cash,
O-100065,07-12-2024,C-324,España,efectivo,
O-100066,18/02/2025,C-339,estados unidos,TD,BLACKFRIDAY
O-100067,08-Jul-2025,C-475,españa,cash,WELCOME
O-100068,11-21-2025,C-392,Estados Unidos,credito,
O-100069,05-07-2025,C-180,estados unidos,tarjeta crédito,
O-100070,21/01/2026,C-353,Estados Unidos,efectivo,
O-100071,31/12/2025,C-603,mx,debito,
O-100072,05-01-2025,C-41,México,TC,
O-100073,2024-07-15,C-621,US,paypal,
O-100074,14-Jan-2025,C-981,méxico,efectivo,
O-100075,04-Jun-2024,C-518,Estados Unidos,debito,
O-100076,2026-01-21,C-511,Argentina,debito,BLACKFRIDAY
O-100077,12-16-2024,C-273,Estados Unidos,debit,
O-100078,2025-07-29,C-190,ar,tarjeta,
O-100079,28/02/2024,C-452,ar,tarjeta,
O-100080,05-04-2024,C-274,MX,TC,
O-100081,06-16-2024,C-212,Argentina,debito,cupón
O-100082,01-Aug-2024,C-548,AR,TD,
O-100083,10-10-2024,C-993,méxico,efectivo,
O-100084,12-Aug-2024,C-187,Estados Unidos,debit,
O-100085,12-09-2024,C-998,España,credito,WELCOME
O-100086,29/11/2024,C-988,ar,pp,BLACKFRIDAY
O-100087,15-Apr-2024,C-42,España,debit,
O-100088,12-Mar-2024,C-299,us,paypal,DESC10
O-100089,12/10/2024,C-642,es,pp,
O-100090,03-31-2024,C-650,us,tarjeta crédito,NULL
O-100091,2024-12-08,C-664,ar,credito,BLACKFRIDAY
O-100092,02/02/2024,C-454,España,efectivo,NULL
O-100093,02-21-2025,C-522,España,pp,
O-100047,20-Mar-2024,C-697,Argentina,TD,
O-100095,17-Jun-2025,C-141,argentina,debit,DESC10
O-100096,17/11/2024,C-253,méxico,efectivo,WELCOME
O-100097,01-16-2026,C-665,Argentina,paypal,
O-100057,08-05-2024,C-796,AR,tarjeta,
O-100099,2025-01-06,C-136,España,cash,
O-100100,07-28-2025,C-566,Estados Unidos,pp,
O-100101,09-27-2024,C-868,México,paypal,
O-100102,10-07-2024,C-786,ES,debit,cupón
O-100103,05-08-2025,C-15,mx,tarjeta crédito,WELCOME
O-100104,04/01/2026,C-570,argentina,card,WELCOME
O-100105,2025-11-03,C-940,us,debit,
O-100106,11-28-2024,C-876,ES,paypal,NULL
O-100107,04-Jul-2025,C-347,México,paypal,WELCOME
O-100108,06-06-2025,C-906,ar,debit,
O-100109,25/10/2024,C-457,Argentina,pp,WELCOME
O-100110,2024-07-16,C-743,méxico,debit,cupón
O-100111,2024-03-24,C-882,España,debit,NULL
O-100112,30-Oct-2025,C-303,México,tarjeta crédito,
O-100113,08/03/2024,C-302,Argentina,paypal,WELCOME
O-100114,02-09-2025,C-189,ES,pp,
O-100115,02-22-2025,C-516,México,pp,cupón
O-100116,12/05/2024,C-995,Argentina,card,cupón
O-100117,2025-05-20,C-199,Argentina,tarjeta crédito,
O-100118,2025-11-26,C-61,México,pp,
O-100119,16-Aug-2025,C-894,AR,tarjeta crédito,
O-100120,2024-11-06,C-549,Estados Unidos,TD,
O-100121,28-Apr-2024,C-737,España,credito,
O-100122,2026-01-08,C-209,españa,paypal,
O-100123,08-Feb-2025,C-465,Estados Unidos,paypal,DESC10
O-100124,01/05/2025,C-538,Estados Unidos,efectivo,
O-100073,09-04-2025,C-446,MX,efectivo,WELCOME
O-100126,04-Nov-2024,C-785,argentina,debito,DESC10
O-100127,2024-03-12,C-720,méxico,debito,DESC10
O-100128,05-05-2024,C-585,us,debito,NULL
O-100129,2025-05-29,C-554,mx,TC,cupón
O-100130,08-Oct-2024,C-531,México,efectivo,
O-100131,24/10/2025,C-957,argentina,debit,
O-100132,2025-07-21,C-203,Argentina,efectivo,WELCOME
O-100133,2026-01-12,C-119,us,cash,DESC10
O-100134,29/05/2025,C-894,españa,efectivo,
O-100135,2024-09-05,C-919,Argentina,efectivo,cupón
O-100136,08-27-2025,C-722,México,cash,
O-100137,16/02/2024,C-528,US,debito,cupón
O-100138,11/02/2025,C-798,México,cash,BLACKFRIDAY
O-100139,10-24-2025,C-49,estados unidos,debito,BLACKFRIDAY
O-100140,2025-02-06,C-19,mx,debito,
O-100141,06/05/2024,C-68,US,paypal,WELCOME
O-100142,26-Jan-2025,C-480,argentina,cash,
O-100143,02-28-2025,C-514,estados unidos,efectivo,BLACKFRIDAY
O-100144,2024-10-22,C-478,es,efectivo,WELCOME
O-100145,10-Nov-2025,C-757,argentina,efectivo,
O-100146,01-Oct-2024,C-345,AR,efectivo,DESC10
O-100147,12-Aug-2024,C-742,méxico,TD,NULL
O-100148,31/01/2025,C-335,us,debito,
O-100149,06-23-2024,C-529,estados unidos,pp,NULL
O-100150,18-Sep-2024,C-279,MX,credito,BLACKFRIDAY
O-100151,2024-11-13,C-930,españa,TC,
O-100152,12-12-2025,C-741,es,efectivo,BLACKFRIDAY
O-100153,25/03/2024,C-685,españa,TD,
O-100154,19-Jun-2024,C-461,es,efectivo,DESC10
O-100155,2024-06-20,C-179,AR,debito,DESC10
O-100156,23/01/2026,C-549,MX,debit,
O-100157,2025-11-08,C-916,méxico,cash,NULL
O-100158,06-16-2024,C-627,MX,tarjeta crédito,
O-100127,03-14-2025,C-704,AR,efectivo,
O-100160,2024-03-29,C-179,AR,pp,
O-100161,09-14-2024,C-725,ar,efectivo,NULL
O-100162,10-02-2024,C-890,Argentina,debito,DESC10
O-100163,2025-02-23,C-797,ar,TC,cupón
O-100164,12-06-2025,C-852,ES,pp,
O-100165,2025-09-09,C-892,méxico,tarjeta crédito,
O-100166,02-20-2025,C-487,mx,card,
O-100167,08-23-2025,C-947,us,TC,
O-100168,2025-01-14,C-382,es,cash,WELCOME
O-100169,2025-07-14,C-598,AR,paypal,
O-100170,16/08/2025,C-871,es,paypal,WELCOME
O-100171,01-Aug-2024,C-226,ar,pp,
O-100172,26-Sep-2025,C-532,ar,tarjeta,cupón
O-100173,24-Mar-2025,C-73,ES,card,
O-100174,2025-01-16,C-727,estados unidos,tarjeta,NULL
O-100175,2024-11-11,C-78,US,cash,
O-100176,08-Jul-2024,C-856,MX,debito,
O-100177,27/01/2025,C-808,mx,credito,WELCOME
O-100178,28-Apr-2024,C-848,estados unidos,efectivo,
O-100179,05-05-2025,C-396,es,tarjeta,cupón
O-100180,13/11/2025,C-252,méxico,credito,
O-100181,26-Aug-2025,C-286,estados unidos,efectivo,NULL
O-100182,2025-04-16,C-679,Estados Unidos,tarjeta crédito,
O-100183,22-Jan-2025,C-13,ar,debito,NULL
O-100184,2025-06-18,C-423,es,cash,
O-100185,04-25-2024,C-121,méxico,pp,
O-100186,2024-03-05,C-593,México,pp,NULL
O-100187,10-17-2025,C-422,estados unidos,debit,BLACKFRIDAY
O-100188,2024-10-17,C-63,ar,card,NULL
O-100189,30-May-2025,C-276,us,TC,WELCOME
O-100190,11-29-2024,C-850,méxico,TD,
O-100191,15-Oct-2024,C-746,mx,tarjeta,
O-100192,12/08/2025,C-98,españa,cash,NULL
O-100193,10-03-2024,C-238,méxico,credito,WELCOME
O-100194,07-30-2025,C-442,Estados Unidos,credito,
O-100195,17/09/2025,C-210,Estados Unidos,cash,DESC10
O-100196,06-07-2024,C-52,México,paypal,NULL
O-100197,10/01/2026,C-910,argentina,paypal,NULL
O-100198,2024-03-12,C-819,mx,tarjeta,
O-100199,25-Nov-2024,C-607,es,card,NULL
O-100200,26/01/2025,C-135,mx,paypal,DESC10
O-100201,24-Sep-2025,C-993,méxico,tarjeta,
O-100202,06-02-2024,C-70,Estados Unidos,debito,
O-100203,10/03/2025,C-137,us,TD,
O-100204,22/10/2024,C-219,US,card,
O-100205,30/11/2025,C-803,AR,card,
O-100206,25/04/2024,C-395,mx,debito,WELCOME
O-100207,08-08-2024,C-759,MX,TD,WELCOME
O-100208,17/09/2025,C-320,es,efectivo,cupón
O-100209,2024-09-18,C-727,ar,tarjeta crédito,NULL
O-100210,17-Dec-2025,C-766,us,paypal,
O-100211,2024-03-04,C-637,us,cash,
O-100212,11-05-2024,C-912,Argentina,TD,
O-100213,14-Apr-2024,C-501,ar,pp,
O-100015,03-21-2025,C-206,méxico,pp,
O-100215,31/12/2025,C-929,Estados Unidos,debito,
O-100216,20-Sep-2024,C-670,ES,credito,NULL
O-100217,13-May-2025,C-945,ar,card,
O-100218,08-08-2024,C-32,ES,paypal,
O-100219,12-13-2024,C-681,AR,efectivo,
O-100220,19/03/2025,C-682,MX,TD,NULL
O-100221,07-26-2024,C-114,Argentina,paypal,
O-100222,14/06/2025,C-828,mx,card,
O-100223,01-27-2025,C-558,ES,debito,
O-100224,2025-11-18,C-477,ES,tarjeta crédito,DESC10
O-100031,08-15-2024,C-444,México,paypal,
O-100226,2025-12-24,C-959,AR,pp,
O-100227,08/06/2024,C-725,méxico,cash,NULL
O-100228,10-Feb-2024,C-822,España,card,
O-100229,23-May-2025,C-25,Argentina,paypal,DESC10
O-100230,16-Jul-2025,C-16,Estados Unidos,efectivo,WELCOME
O-100231,09/01/2025,C-541,argentina,pp,
O-100232,27/02/2024,C-687,mx,paypal,cupón
O-100011,25/01/2026,C-121,US,efectivo,
O-100234,09/05/2024,C-425,méxico,debit,WELCOME
O-100235,24-Oct-2025,C-637,argentina,credito,
O-100236,08-Nov-2025,C-780,us,pp,NULL
O-100237,07-06-2024,C-292,argentina,card,NULL
O-100238,10-19-2025,C-420,España,TC,DESC10
O-100239,2024-12-30,C-344,ar,pp,DESC10
O-100240,14/11/2025,C-142,mx,efectivo,
O-100241,05/11/2025,C-618,us,cash,cupón
O-100242,15-Aug-2025,C-713,estados unidos,tarjeta crédito,DESC10
O-100243,2024-08-25,C-570,Argentina,efectivo,WELCOME
O-100244,26-Mar-2025,C-318,México,paypal,WELCOME
O-100245,01-13-2026,C-177,españa,tarjeta,
O-100246,09-17-2024,C-417,us,credito,
O-100247,04/11/2024,C-419,US,tarjeta,WELCOME
O-100248,12-Jun-2025,C-473,méxico,tarjeta,DESC10
O-100249,03-12-2024,C-3,MX,cash,BLACKFRIDAY
O-100250,07-30-2024,C-632,AR,efectivo,NULL
