timestamp,device_id,temperatura_c,vibracion_ms2,estado,linea_produccion
30/12/2025 23:27,SENSOR-006,39.66,22.123,0,a
01/01/2026 01:03,SENSOR-045,25.09,3.028,0,línea C
2026-01-10 14:57:20,SENSOR-043,"68,45",30.846,OK,Linea B
2026-01-01 15:45:09,SENSOR-039,56.06,4.475,NORMAL,línea C
25/01/2026 11:00,SENSOR-033,66.48,4.577,ok,Linea B
2025-12-30 14:06:44,SENSOR-047,56.52,0.532,OK,b
2026-01-14T12:18:25,SENSOR-004,79.55,1.244,ok,línea A
2026-01-08 09:22:26,SENSOR-001,35.62,1.432,NORMAL,A
23/01/2026 23:44,SENSOR-046,"48,83",0.46,NORMAL,Linea A
2026-01-03 05:09:54,SENSOR-049,"47,77",0.903,FAIL,c
2026-01-08T12:45:15,SENSOR-006,59.51,1.6,1,Linea B
2026-01-08T10:23:30,SENSOR-008,69.13,0.766,0,línea B
2026-01-05 19:03:33,SENSOR-011,72.93,2.551,0,Linea A
2025-12-29T11:53:40,SENSOR-016,42.71,8.708,ok,a
2026-01-11 12:03:36,SENSOR-039,43.76,41.425,NORMAL,línea B
2026-01-01T01:03:24,SENSOR-037,61.51,4.632,OK,línea C
2026-01-16 08:35:47,SENSOR-045,72.39,2.162,NORMAL,b
31/12/2025 12:12,SENSOR-004,45.64,43.549,OK,B
2026-01-07T21:22:19,SENSOR-021,45.93,2.381,0,línea A
2026-01-11T20:57:59,SENSOR-037,77.18,4.623,OK,A
2026-01-01T01:03:24,SENSOR-037,61.51,4.632,OK,línea C
2026-01-25T14:05:43,SENSOR-003,54.81,4.715,OK,Linea B
2026-01-01 05:26:55,SENSOR-021,37.52,17.901,ERROR,B
2026-01-02T16:35:27,SENSOR-011,39.82,2.703,NORMAL,b
2026-01-22 02:38:36,SENSOR-029,55.66,4.618,NORMAL,línea B
30/12/2025 01:35,SENSOR-049,53.45,4.655,FAIL,a
2026-01-25 18:43:12,SENSOR-001,"42,71",16.169,Alerta,Linea C
2026-01-15 14:52:43,SENSOR-019,70.2,1.872,ok,b
06/01/2026 09:42,SENSOR-026,46.45,0.309,OK,A
23/01/2026 13:52,SENSOR-036,49.48,2.014,OK,Linea C
2026-01-21T12:03:25,SENSOR-014,,0.718,OK,A
2026-01-08 17:06:03,SENSOR-015,76.53,0.843,OK,A
2026-01-22 11:38:09,SENSOR-016,48.72,0.147,NORMAL,b
2026-01-04T14:41:57,SENSOR-005,38.73,0.104,1,Linea B
16/01/2026 16:15,SENSOR-003,44.24,1.818,0,línea A
14/01/2026 05:51,SENSOR-029,144.02,2.055,ok,Linea A
22/01/2026 16:55,SENSOR-042,196.45,3.671,ok,Linea A
2026-01-07T20:49:52,SENSOR-039,31.67,4.582,0,B
2026-01-10T08:59:23,SENSOR-008,31.65,4.025,1,b
2026-01-08 09:22:26,SENSOR-001,35.62,1.432,NORMAL,A
21/01/2026 12:34,SENSOR-025,73.66,4.119,OK,b
13/01/2026 18:53,SENSOR-009,29.61,3.909,0,A
18/01/2026 23:23,SENSOR-018,60.1,1.621,0,a
2026-01-17 14:15:21,SENSOR-028,"27,47",4.86,OK,c
18/01/2026 09:46,SENSOR-038,,3.62,1,a
2026-01-25T02:36:45,SENSOR-020,"36,45",28.687,FAIL,línea B
2026-01-13T00:04:35,SENSOR-012,47.26,0.528,ok,Linea C
2026-01-18T11:26:24,SENSOR-017,71.45,4.64,OK,c
2026-01-09T15:59:50,SENSOR-039,75.07,2.801,0,Linea B
2025-12-30T08:56:02,SENSOR-049,57.26,0.929,OK,Linea B
2026-01-21 01:24:46,SENSOR-007,,1.234,ok,C
2026-01-03T20:52:47,SENSOR-049,59.49,4.695,NORMAL,Linea C
2026-01-23 00:44:42,SENSOR-016,"64,2",3.892,OK,a
2026-01-25T19:42:00,SENSOR-044,69.51,27.938,NORMAL,C
18/01/2026 03:48,SENSOR-044,"49,13",4.407,OK,línea C
2026-01-03 12:55:58,SENSOR-021,"25,8",0.0,ok,línea C
2026-01-08T13:09:16,SENSOR-045,37.85,1.091,NORMAL,B
2026-01-10 04:03:03,SENSOR-018,,1.623,ok,A
2025-12-31 15:01:39,SENSOR-039,48.12,1.023,0,línea C
12/01/2026 02:41,SENSOR-005,76.6,3.493,ok,A
2026-01-15T15:04:22,SENSOR-029,81.72,0.353,Alerta,Linea B
08/01/2026 11:46,SENSOR-039,26.48,4.144,1,Linea C
04/01/2026 02:27,SENSOR-024,"66,48",0.863,NORMAL,c
2026-01-01 02:08:53,SENSOR-013,68.39,4.057,0,línea A
2026-01-17T06:11:49,SENSOR-021,56.01,0.381,NORMAL,Linea C
29/12/2025 19:45,SENSOR-012,39.86,4.891,OK,línea B
2026-01-09 00:04:10,SENSOR-011,57.33,0.0,ok,línea A
