fecha,hora,tipo_vehiculo,placa,barra_acceso,engomado,bitacora,foto,capacidad_sobrepasada,descanso_oficial,vacacional,año
2021-01-01,21:10:13,sedan,ZSZ-333-L,2,sí,no,ZSZ333L_211013.png,no,sí,no,2021
2021-01-01,14:03:49,carga,AF-0278-S,2,sí,no,AF0278S_140349.png,no,sí,no,2021
2021-01-02,06:04:44,moto,SZF-349,2,sí,no,SZF349_060444.png,no,no,no,2021
2021-01-02,06:14:17,camioneta,ALS-343-S,2,sí,sí,ALS343S_061417.png,no,no,no,2021
2021-01-02,06:15:39,camioneta,FLH-368-Z,1,sí,no,FLH368Z_061539.png,no,no,no,2021
2021-01-02,06:23:40,moto,ZZS-301,2,sí,no,ZZS301_062340.png,no,no,no,2021
2021-01-02,06:28:11,camioneta,FZF-688-H,1,sí,no,FZF688H_062811.png,no,no,no,2021
2021-01-02,06:29:08,sedan,HSZ-569-S,1,sí,no,HSZ569S_062908.png,no,no,no,2021
2021-01-02,06:29:56,sedan,SHF-623-A,1,sí,no,SHF623A_062956.png,no,no,no,2021
2021-01-02,06:30:40,moto,AHA-747,2,sí,no,AHA747_063040.png,no,no,no,2021
2021-01-02,06:32:25,moto,SFL-350,1,no,sí,SFL350_063225.png,no,no,no,2021
2021-01-02,06:33:55,sedan,SSZ-499-S,2,sí,no,SSZ499S_063355.png,no,no,no,2021
2021-01-02,06:39:03,sedan,FAA-113-H,1,sí,no,FAA113H_063903.png,no,no,no,2021
2021-01-02,06:42:32,moto,AZZ-206,2,sí,no,AZZ206_064232.png,no,no,no,2021
2021-01-02,06:43:00,camioneta,ZSZ-351-L,1,sí,no,ZSZ351L_064300.png,no,no,no,2021
2021-01-02,06:55:00,sedan,ASZ-967-S,1,sí,no,ASZ967S_065500.png,no,no,no,2021
2021-01-02,06:55:13,camioneta,HAA-751-H,2,sí,no,HAA751H_065513.png,no,no,no,2021
2021-01-02,07:07:08,sedan,SAZ-052-F,2,sí,sí,SAZ052F_070708.png,no,no,no,2021
2021-01-02,07:07:34,moto,HAZ-247,2,no,sí,HAZ247_070734.png,no,no,no,2021
2021-01-02,07:24:23,sedan,SHL-125-F,1,sí,sí,SHL125F_072423.png,no,no,no,2021
2021-01-02,07:54:42,sedan,LZH-522-H,2,sí,sí,LZH522H_075442.png,no,no,no,2021
2021-01-02,07:59:26,moto,SLF-408,2,sí,no,SLF408_075926.png,no,no,no,2021
2021-01-02,08:16:06,moto,AFF-560,1,sí,no,AFF560_081606.png,no,no,no,2021
2021-01-02,09:42:23,moto,FZH-955,2,sí,no,FZH955_094223.png,no,no,no,2021
2021-01-02,10:02:51,sedan,ZFS-765-H,2,sí,no,ZFS765H_100251.png,no,no,no,2021
2021-01-02,10:52:51,moto,ZSH-844,1,sí,sí,ZSH844_105251.png,no,no,no,2021
